Document Name,Document Path,Question
Create Custom Conda Environment.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Create Custom Conda Environment.md,Do I need to run the `ipykernel install` command every time I want to use my environment in a new Jupyter Lab session?
Docker and the RIS Compute1 Platform.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Docker and the RIS Compute1 Platform.md,"My container works on my own machine, but on Compute1 it fails with a ""no such file or directory"" error. What's wrong?"
Docker and the RIS Compute1 Platform.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Docker and the RIS Compute1 Platform.md,I'm used to running `docker run` with my own options like `-v` to mount volumes. Why doesn't that work here and what are the limitations?
Docker and the RIS Compute1 Platform.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Docker and the RIS Compute1 Platform.md,How do I use my private Docker Hub repository to pull images for jobs or push new images that I build on the cluster?
Docker Wrapper Environment Variables.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Docker Wrapper Environment Variables.md,How can I access my files from the host machine inside my Docker container?
Docker Wrapper Environment Variables.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Docker Wrapper Environment Variables.md,My Docker image already has a default command. How do I run it without specifying a command to bsub?
Docker Wrapper Environment Variables.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Docker Wrapper Environment Variables.md,"I'm trying to expose a port from my container, but it's not working. Are there any restrictions?"
Intel® Compiler Base Tutorial.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Intel® Compiler Base Tutorial.md,"What's the difference between the multi-stage and single-stage build, and why is the multi-stage build recommended?"
Intel® Compiler Base Tutorial.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Intel® Compiler Base Tutorial.md,"How do I modify the provided Dockerfile to compile my own C or MPI source code instead of the ""Hello World"" example?"
Intel® Compiler Base Tutorial.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Intel® Compiler Base Tutorial.md,"Can I change the number of processors for my job, and how would I modify the `bsub` and `mpirun` commands to do so?"
Job Execution Examples.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Job Execution Examples.md,"How do I request specific resources for my job, like more memory or a GPU?"
Job Execution Examples.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Job Execution Examples.md,My job can't find my files. How do I make my data in `/storage1` and `/scratch1` available to my container?
Job Execution Examples.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Job Execution Examples.md,"I submitted hundreds of jobs, but why are only a few of them running at the same time?"
Local VNC Viewer.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Local VNC Viewer.md,Is there a way for me to connect using my Windows computer?
Local VNC Viewer.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Local VNC Viewer.md,The guide provides installation commands for MacOS. How do I install the required software on Linux?
Local VNC Viewer.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Local VNC Viewer.md,"I ran the `LaunchDesktop` file, but the terminal window closed immediately without giving me a command to copy. What should I do?"
Open OnDemand.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Open OnDemand.md,I'm getting an error when I try to log into Open OnDemand for the first time. What is the most common reason for this?
Open OnDemand.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Open OnDemand.md,The 'Files' app only shows my home directory. How do I access my data on storage1 or scratch1?
Open OnDemand.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Open OnDemand.md,"My interactive session has been in the ""Queued"" status for a long time. Is this normal?"
Parallel Computing.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Parallel Computing.md,What happens if I request more than the suggested 10 GPUs?
Parallel Computing.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Parallel Computing.md,"For MPI jobs, what happens if I forget to set the `LSF_DOCKER_NETWORK` and `LSF_DOCKER_IPC` environment variables?"
Parallel Computing.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Parallel Computing.md,How can I find out what types of GPUs are available in the cluster to use with the `gmodel` option?
Port Forwarding.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Port Forwarding.md,How do I find which execution node my job is running on?
Port Forwarding.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Port Forwarding.md,"Is the remote port always 8901, or how can I find the correct port for my application?"
Port Forwarding.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Port Forwarding.md,"I followed the steps, but my browser says the connection was refused. What are common reasons for this?"
R Tutorial.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\R Tutorial.md,I tried building a Docker image with a different R package and it failed. How do I figure out which system libraries (`apt-get install`) it needs?
R Tutorial.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\R Tutorial.md,The tutorial shows how to create phenotype data from scratch. How do I load my own existing metadata file for the DESeq2 analysis?
R Tutorial.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\R Tutorial.md,Can I use the custom Docker image I built with my specific packages in an RStudio session instead of from the command line?
RTM.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\RTM.md,My job is stuck in a pending state. Where in RTM can I find the reason why?
RTM.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\RTM.md,"What is the difference between 'Max Slots', 'Num Slots', and 'Run Slots' on the Cluster Dashboard?"
RTM.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\RTM.md,I don't see my specific software license on the License Dashboard. How can I check if it's available?
Software Development Using Compute1.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Software Development Using Compute1.md,Can I follow this process for other programming languages like Python or R?
Software Development Using Compute1.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Software Development Using Compute1.md,The document says not to put `LSF_DOCKER_VOLUMES` in my `.bash_profile`. What is the recommended way to define it for my jobs?
Software Development Using Compute1.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Software Development Using Compute1.md,How do I modify the Dockerfile to install my own software dependencies instead of just `git`?
Space Management.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Space Management.md,How do I get my data into my home or scratch directory to run a job?
Space Management.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Space Management.md,Why do the `df` command and my mounted network drive show different amounts of used space for my storage allocation?
Space Management.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Space Management.md,"What is the correct command to check my usage and quota for my home directory, scratch space, and storage allocation?"
Using CUDA in Docker Images.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Using CUDA in Docker Images.md,"Do I have to use CUDA 12.4, or can I use an older version for my application?"
Using CUDA in Docker Images.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Using CUDA in Docker Images.md,Is there a simpler command than running the OSU benchmark to quickly verify that my Docker container can access the GPU?
Using CUDA in Docker Images.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Using CUDA in Docker Images.md,"What NVIDIA driver version is installed on the compute nodes, and how does that affect which CUDA version I can use in my container?"
Using OFED in Docker Images.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Using OFED in Docker Images.md,What should I do if my software requires a different OFED version than the one shown in the example?
Using OFED in Docker Images.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Using OFED in Docker Images.md,Are there pre-built base images available that already include the correct OFED drivers?
Using OFED in Docker Images.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Using OFED in Docker Images.md,The examples are for RedHat 8.9 and Ubuntu 22.04. What instructions should I use for a different Linux distribution?
Visual Studio Code on Compute1.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Visual Studio Code on Compute1.md,I'm having trouble connecting to Compute1 and I'm sure my password is correct. What else could be wrong?
Visual Studio Code on Compute1.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Visual Studio Code on Compute1.md,"After opening a terminal, can I run my analysis or code directly?"
Visual Studio Code on Compute1.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1\Visual Studio Code on Compute1.md,"I've successfully connected, but how do I open my project folder to see my files?"
Batch Jobs (sbatch).md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Batch Jobs (sbatch).md,"How do I request multiple resources like CPUs, memory, and GPUs in the same job?"
Batch Jobs (sbatch).md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Batch Jobs (sbatch).md,How can I run a second job only after my first job has finished successfully?
Batch Jobs (sbatch).md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Batch Jobs (sbatch).md,I've created a job array; how can my script use the array index to process a different file for each task?
Compute2 General Guidelines.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Compute2 General Guidelines.md,How do I use job arrays to efficiently run many small tasks?
Compute2 General Guidelines.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Compute2 General Guidelines.md,How can I use the temporary `/tmp/` directory inside my Slurm job script?
Compute2 General Guidelines.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Compute2 General Guidelines.md,What are the recommended methods for creating my own software environment for my jobs?
Compute2 MPI.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Compute2 MPI.md,Do I need to specify the number of processes with an option like `-np` for `mpirun`?
Compute2 MPI.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Compute2 MPI.md,"For Intel MPI, will I need to update the `I_MPI_PMI_LIBRARY` path when the Slurm version changes?"
Compute2 MPI.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Compute2 MPI.md,Why do the examples use `srun` to launch `mpirun` instead of just using `mpirun` directly?
Compute2 Quickstart.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Compute2 Quickstart.md,"What is the difference between `srun` and `sbatch`, and when should I use each one?"
Compute2 Quickstart.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Compute2 Quickstart.md,How do I access my storage files and data when running my job inside a container?
Compute2 Quickstart.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Compute2 Quickstart.md,How do I know which partition to use for my job?
Interactive Jobs (srun).md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Interactive Jobs (srun).md,"How do I start an interactive shell that has a specific amount of CPUs, memory, and a GPU?"
Interactive Jobs (srun).md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Interactive Jobs (srun).md,"What are the default resource allocations (like CPUs, memory, and time limit) if I don't specify them in my `srun` command?"
Interactive Jobs (srun).md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Interactive Jobs (srun).md,"How can I see which nodes have specific features, like 'amd' or 'intel' CPUs, before I submit my job?"
LSF to Slurm Translator.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\LSF to Slurm Translator.md,What should I do if a specific LSF command option I'm using isn't working with the translator?
LSF to Slurm Translator.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\LSF to Slurm Translator.md,The documentation mentions the translator is 'use at your own risk'. How can I verify my LSF command is being translated correctly before running it?
LSF to Slurm Translator.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\LSF to Slurm Translator.md,"Does the translator support LSF commands other than `bsub`, `bjobs`, and `bkill`?"
Monitoring Jobs and Partitions_Queues.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Monitoring Jobs and Partitions_Queues.md,My job is stuck in a PENDING state. How can I find out why it's not running?
Monitoring Jobs and Partitions_Queues.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Monitoring Jobs and Partitions_Queues.md,"What are the differences between the `general`, `general-short`, and other partitions, and which one should I use?"
Monitoring Jobs and Partitions_Queues.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Monitoring Jobs and Partitions_Queues.md,Where can I find the output file for my job after it has completed?
Storage Platforms on Compute2.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Storage Platforms on Compute2.md,Where can I find information about the available storage platforms?
Storage Platforms on Compute2.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Storage Platforms on Compute2.md,When is this documentation expected to be complete?
Storage Platforms on Compute2.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Storage Platforms on Compute2.md,Who can I contact for help with storage options in the meantime?
Transitioning Between slurm and LSF.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Transitioning Between slurm and LSF.md,How do I translate my slurm memory request (`--mem-per-cpu`) to an LSF memory request (`-M`)? What are the units for the `-M` flag?
Transitioning Between slurm and LSF.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Transitioning Between slurm and LSF.md,"Is specifying a Docker container with the `-a` flag required for all jobs, or only on Compute1?"
Transitioning Between slurm and LSF.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Transitioning Between slurm and LSF.md,How can I see a list of available submission queues (`-q`) and compute groups (`-G`) that I can use?
Using Containers on Compute2.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Using Containers on Compute2.md,How do I run a container on Compute2?
Using Containers on Compute2.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Using Containers on Compute2.md,"What container technologies, like Docker or Singularity, are supported on Compute2?"
Using Containers on Compute2.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Using Containers on Compute2.md,Where can I find the current documentation or examples since this page is still being developed?
Using Slurm in Containers.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Using Slurm in Containers.md,Why is installing Slurm in the container recommended over mounting the host's installation?
Using Slurm in Containers.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Using Slurm in Containers.md,What happens if the Slurm version in my container doesn't exactly match the host's version?
Using Slurm in Containers.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2\Using Slurm in Containers.md,Is it necessary to add the `slurm` user to my container if I'm not the system administrator?
"Docker Basics_ Building, Tagging, & Pushing A Custom Docker Image.md","D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Docker\Docker Basics_ Building, Tagging, & Pushing A Custom Docker Image.md",How can I modify this Dockerfile to install different software or a specific version of Python?
"Docker Basics_ Building, Tagging, & Pushing A Custom Docker Image.md","D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Docker\Docker Basics_ Building, Tagging, & Pushing A Custom Docker Image.md","Why am I getting an ""access denied"" error when I try to `docker push` my image to Docker Hub?"
"Docker Basics_ Building, Tagging, & Pushing A Custom Docker Image.md","D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Docker\Docker Basics_ Building, Tagging, & Pushing A Custom Docker Image.md",What is the advantage of chaining all the `apt-get` commands into a single `RUN` line instead of separating them?
Docker Tutorial.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Docker\Docker Tutorial.md,"Do I have to upload my image to a public registry like Docker Hub, or can I use a locally built image directly on the Compute1 platform?"
Docker Tutorial.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Docker\Docker Tutorial.md,The example installs software using `apt-get`. How can I add my own scripts or source code from my local machine into the Docker image?
Docker Tutorial.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Docker\Docker Tutorial.md,"Why is it necessary to set `LSF_DOCKER_PRESERVE_ENVIRONMENT=false` before running my container, and when might I want to leave it as the default?"
Installing Python Packages In Your Docker Container.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Docker\Installing Python Packages In Your Docker Container.md,When should I choose pip over conda for installing packages in my Docker container?
Installing Python Packages In Your Docker Container.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Docker\Installing Python Packages In Your Docker Container.md,How do I install non-Python dependencies if I'm using the pip method?
Installing Python Packages In Your Docker Container.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Docker\Installing Python Packages In Your Docker Container.md,Why is the final container image so much larger when using conda compared to pip?
Github Enterprise.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services\Github Enterprise.md,"Can I store protected or confidential information, like HIPAA data, in my GitHub repository?"
Github Enterprise.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services\Github Enterprise.md,Is there a cost for me or my lab to use GitHub Copilot?
Github Enterprise.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services\Github Enterprise.md,"I'm an organization owner, but I don't see the option to enable Copilot for my team. What do I need to do?"
LabArchives Notebook.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services\LabArchives Notebook.md,"Do I use my WashU Key to log in, or do I need to create a separate LabArchives account?"
LabArchives Notebook.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services\LabArchives Notebook.md,Is there a cost for WashU members to use the LabArchives ELN?
LabArchives Notebook.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services\LabArchives Notebook.md,Who should I contact for technical support if I run into an issue?
Omero.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services\Omero.md,What are the prerequisites for using the WashU Omero service?
Omero.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services\Omero.md,I've installed the Omero Insight client; how do I configure it to connect to the WashU server?
Omero.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services\Omero.md,Who should I contact for support if I have an error in the Omero application versus a problem logging in?
WashU ELN FAQ.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services\LabArchives Notebook\WashU ELN FAQ.md,What happens to my data and notebooks if I leave WashU?
WashU ELN FAQ.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services\LabArchives Notebook\WashU ELN FAQ.md,Is there a storage limit for my account or notebooks?
WashU ELN FAQ.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services\LabArchives Notebook\WashU ELN FAQ.md,Are there specific configurations I must use to ensure my notebook is HIPAA compliant?
Connecting to Storage from Linux.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Connecting to Storage from Linux.md,What values should I use for `storageN` and `${VOLUME_NAME}`?
Connecting to Storage from Linux.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Connecting to Storage from Linux.md,"What is the difference between using `mount` and `smbclient`, and when should I use one over the other?"
Connecting to Storage from Linux.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Connecting to Storage from Linux.md,How can I make the storage mount automatically every time my computer reboots?
Connecting to Storage from MacOS.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Connecting to Storage from MacOS.md,What should I use for `storageN` and my `PI WashU Key ID` in the server address?
Connecting to Storage from MacOS.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Connecting to Storage from MacOS.md,What should I do if I don't have administrative privileges to run the initial setup commands in Terminal?
Connecting to Storage from MacOS.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Connecting to Storage from MacOS.md,"I followed the steps to make the connection permanent, but it still disappears when I lose my internet connection or asks for my password every time I log in. How can I fix this?"
Connecting to Storage from Windows.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Connecting to Storage from Windows.md,How do I know whether to use `storage1` or `storage2` in the folder path?
Connecting to Storage from Windows.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Connecting to Storage from Windows.md,The login window isn't appearing after I entered the path and hit Enter. What should I check?
Connecting to Storage from Windows.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Connecting to Storage from Windows.md,"Can I map this as a network drive with a drive letter (e.g., Z:) instead of creating a shortcut?"
Moving Data From Google Storage to RIS Storage via gsutil on Compute1.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Moving Data From Google Storage to RIS Storage via gsutil on Compute1.md,"I'm getting a ""permission denied"" error when I run `gsutil rsync`, even though I logged in successfully. What could be the problem?"
Moving Data From Google Storage to RIS Storage via gsutil on Compute1.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Moving Data From Google Storage to RIS Storage via gsutil on Compute1.md,Why is it necessary to launch a `bsub` interactive job? Can't I just run the `gsutil` command directly on the login node?
Moving Data From Google Storage to RIS Storage via gsutil on Compute1.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Moving Data From Google Storage to RIS Storage via gsutil on Compute1.md,"When should I use the parallel transfer option (`-m`), and what kind of errors does the warning refer to?"
Moving Data With Globus CLI.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Moving Data With Globus CLI.md,How do I find the correct path for my files on the RIS Storage1 endpoint?
Moving Data With Globus CLI.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Moving Data With Globus CLI.md,The document shows how to find the 'RIS Storage1' endpoint. How can I find the endpoint ID for my local machine?
Moving Data With Globus CLI.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Moving Data With Globus CLI.md,"After I run the `globus transfer` command, where do I find the task ID to check on its status?"
Moving Data With Globus.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Moving Data With Globus.md,How do I transfer files between my own computer and the RIS storage?
Moving Data With Globus.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Moving Data With Globus.md,"I've connected to the `RIS Storage1` collection, but I don't see my data. How do I find my specific storage allocation?"
Moving Data With Globus.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Moving Data With Globus.md,"My transfer completed successfully, but where can I see a list of all the individual files that were moved?"
Moving Data With Rclone.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Moving Data With Rclone.md,Why do I have to install and configure rclone on my local machine instead of directly on compute1?
Moving Data With Rclone.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Moving Data With Rclone.md,"Can I use this guide to connect to other cloud storage providers, like Google Drive or Dropbox, instead of Box?"
Moving Data With Rclone.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Moving Data With Rclone.md,"After I copy the configuration file to compute1, will the commands for transferring data be the same no matter which operating system (Windows, macOS, etc.) I used for the initial setup?"
Recovering Data From Snapshots.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Recovering Data From Snapshots.md,Why can't I see the `.snapshots` or `.snapshot` folder in my storage drive?
Recovering Data From Snapshots.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Recovering Data From Snapshots.md,How far back can I recover data from? How long are old snapshots kept?
Recovering Data From Snapshots.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Recovering Data From Snapshots.md,Can I use the Globus recovery method for a storage allocation on Storage2?
Storage1 Access Control.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Storage1 Access Control.md,How do I give a new lab member access to a specific project directory?
Storage1 Access Control.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Storage1 Access Control.md,"I moved a file between two project directories, but the quota usage looks wrong. Why did this happen?"
Storage1 Access Control.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Storage1 Access Control.md,Why does `ls -l` show that my directory is owned by 'root' even though I have access to it?
Storage2 Access Control.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Storage2 Access Control.md,"I see how to view the permissions (ACLs) on my files in Storage2, but how do I change them or give access to a new user?"
Storage2 Access Control.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Storage2 Access Control.md,What are the specific steps to connect to my Storage2 share from a Windows or macOS computer?
Storage2 Access Control.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Storage2 Access Control.md,The document warns me not to confuse Storage2 and fs2. What is fs2 and how is it different?
Troubleshooting Connection to the Storage Platforms.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Troubleshooting Connection to the Storage Platforms.md,What should I use for `storageN` in the command?
Troubleshooting Connection to the Storage Platforms.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Troubleshooting Connection to the Storage Platforms.md,"My connection test was successful, but I still can't access my files. What should I do now?"
Troubleshooting Connection to the Storage Platforms.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Troubleshooting Connection to the Storage Platforms.md,Why do I need to contact a different support team if the test fails versus if it succeeds?
Using Globus Connect Personal.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Using Globus Connect Personal.md,What is the difference between using Globus Connect Personal for my own computer versus using the main `storage1` Globus endpoint?
Using Globus Connect Personal.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Using Globus Connect Personal.md,"After setting up my endpoint on the compute platform, I can't connect to it. What information from the setup process must I use in the `bsub` run command?"
Using Globus Connect Personal.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Storage Platforms\Using Globus Connect Personal.md,"I've added a new folder or external drive to my collection, but I can't transfer files to it. How do I enable write access?"
